timestamp,src_ip,dst_ip,predicted_label,probability
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,98.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,80.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,91.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,97.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:12,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 17:26:12,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:15,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 17:26:15,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 17:26:15,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 17:42:51,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:42:51,125.209.230.135,192.168.0.25,NORMAL,95.00%
2024-04-18 17:42:51,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:42:51,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 17:42:51,125.209.230.135,192.168.0.25,NORMAL,70.00%
2024-04-18 17:42:51,125.209.230.135,192.168.0.25,NORMAL,60.00%
2024-04-18 17:42:51,125.209.230.135,192.168.0.25,NORMAL,66.00%
2024-04-18 17:42:51,125.209.230.135,192.168.0.25,NORMAL,82.00%
2024-04-18 17:42:51,125.209.230.135,192.168.0.25,NORMAL,90.00%
2024-04-18 17:42:51,192.168.0.25,125.209.230.135,NORMAL,100.00%
